directory,converged,nllf,aic,bic,chisquare,chisquare p-value,n_observations,effect size,chisquare(e),chisquare(e) p-value,chisquare(e) power,n_components,mu0,kappa0,prob0,mu1,kappa1,prob1,mu2,kappa2,prob2,mu3,kappa3,prob3,number of files,filenames
267_09,1,1743237.1379319881,3486496.2758639762,3486531.3983893362,211.30312229661988,0.013175480095380733,346772.78600000002,0.027163449586250336,254.9362063607289,0.99999998758525366,0.99999999999982792,4,89.4123303498811,1.6428455444629808,0.6418104917916636,147.54017037104285,0.2731460762551334,0.3284696168667203,118.95736713245654,20.01719142005553,0.01720440067130075,147.7610455770353,6.872161915895531,0.012515490670315293,4,"P0041_orientationJ_ImageJ.txt, P0043_orientationJ_ImageJ.txt, P0042_orientationJ_ImageJ.txt, P0044_orientationJ_ImageJ.txt"
270_09,1,1971318.0124937827,3942658.0249875654,3942693.1475129253,190.92496298756669,0.10862119543400869,440197.52579999983,0.032796420782254206,476.2022133259274,0.9999705542986429,1.0,4,91.96621742662884,5.005076111357423,0.45204800416316265,104.27020650941255,1.1261014326901313,0.25882285785038445,116.84907715511234,5.612530533621465,0.15222303672324725,103.99835073325774,13.02936283502887,0.1369061012632056,4,"P0047_orientationJ_ImageJ.txt, P0048_orientationJ_ImageJ.txt, P0045_orientationJ_ImageJ.txt, P0046_orientationJ_ImageJ.txt"
273_09,1,3105725.2129266905,6211472.4258533809,6211507.5483787404,169.09151372760508,0.46184810038754931,656144.32700000016,0.02519667476507927,415.15348179709741,0.99999439878795604,1.0,4,82.25580446826461,3.727340000131437,0.4897654724056061,72.11101893637624,0.35387728271507507,0.25545375366892825,100.03727203990918,3.106722309356792,0.22592243867197528,57.086989199697605,8.422708146494442,0.028858335253490332,4,"P0049_orientationJ_ImageJ.txt, P0052_orientationJ_ImageJ.txt, P0051_orientationJ_ImageJ.txt, P0050_orientationJ_ImageJ.txt"
276_09,1,838614.08491649211,1677250.1698329842,1677285.292358344,214.14543768610002,0.0092951704815081981,173927.05520000003,0.03907540184944161,268.40759144533587,0.99999995309375511,0.99999999999997347,4,90.42935532236231,3.0713310305906654,0.5545992848210901,87.55565869435674,0.5436189624730946,0.4216518228404107,113.54182019067487,14.554169712624143,0.018634171382892563,15.614271216111083,10.049379188141554,0.005114720955606631,4,"P0056_orientationJ_ImageJ.txt, P0054_orientationJ_ImageJ.txt, P0053_orientationJ_ImageJ.txt, P0055_orientationJ_ImageJ.txt"
279_09,1,1985521.6903675434,3971065.3807350867,3971100.5032604467,199.72488624511257,0.047632832433612618,391455.59990000009,0.024491675508398293,234.27637583067249,0.99999999666968276,0.9999999999911996,4,67.3577027154967,0.3480606763568127,0.6671154411791644,106.38768140544201,3.0262797401357355,0.16992683558114222,83.68992082991859,5.717532459949666,0.13919559475241075,61.896131497592144,12.274526530556722,0.02376212848728264,4,"P0057_orientationJ_ImageJ.txt, P0058_orientationJ_ImageJ.txt, P0059_orientationJ_ImageJ.txt, P0060_orientationJ_ImageJ.txt"
282_09,1,1853845.1620595404,3707712.3241190808,3707747.4466444408,189.7671212307423,0.11984371236633912,373133.2664000002,0.025826719443440258,245.14190998639722,0.99999999570969478,0.99999999999935341,4,97.64188933397654,1.6244761328283415,0.5225426384010657,68.71800551366138,3.7577304332523416,0.2588682841813519,40.91733793860716,1.96143215315431,0.15739723971662903,161.97300634291133,1.417068473002101,0.06119183770095329,4,"P0064_orientationJ_ImageJ.txt, P0061_orientationJ_ImageJ.txt, P0063_orientationJ_ImageJ.txt, P0062_orientationJ_ImageJ.txt"
285_09,1,3520251.4386491692,7040524.8772983383,7040559.9998236978,195.49350048217883,0.072007538482905531,715401.38759999967,0.022186869616768613,347.02482346896227,0.9999994890624736,1.0,4,70.3323496346431,0.3927024670727518,0.47180214759474626,90.45012864853062,3.294127508861568,0.31604160538262344,59.901788667957995,3.5064579348651805,0.10984022707033272,77.92613631507334,7.006483214413247,0.10231601995229757,4,"P0067_orientationJ_ImageJ.txt, P0065_orientationJ_ImageJ.txt, P0068_orientationJ_ImageJ.txt, P0066_orientationJ_ImageJ.txt"
288_09,1,1966217.5086211197,3932457.0172422393,3932492.1397675993,222.0829890336224,0.0032829826997117771,413318.89480000007,0.029335681671048122,355.67260738640005,0.99999875978108077,1.0,4,97.94285400342635,2.0131899872773236,0.7544434858255823,74.38830788616228,5.276382651678905,0.14493174913293422,33.49599448014197,0.07634779295151796,0.09085249882511176,145.17917342108578,9.25373466661122,0.009772266216371709,4,"P0071_orientationJ_ImageJ.txt, P0069_orientationJ_ImageJ.txt, P0070_orientationJ_ImageJ.txt, P0072_orientationJ_ImageJ.txt"
291_09,1,1460013.7121356511,2920049.4242713023,2920084.5467966623,288.45691911013506,2.1415017769965346e-08,286966.87069999997,0.033244621846333984,317.33731195392625,0.99999967913341881,1.0,4,118.14722207798113,0.9244110633400372,0.9033501808800095,28.42681515913978,3.2344689025243194,0.06722779956473689,20.017758476795237,17.142996670699173,0.018846489379264853,74.11426731021398,6.311274825266308,0.010575530175988704,4,"P0073_orientationJ_ImageJ.txt, P0075_orientationJ_ImageJ.txt, P0074_orientationJ_ImageJ.txt, P0076_orientationJ_ImageJ.txt"
294_09,1,1917415.0418890771,3834852.0837781541,3834887.2063035141,149.09578741645677,0.84990250974149828,381287.01470000012,0.022417748420767953,192.20802006502885,0.99999999989488186,0.99999998437292514,4,102.83672930332405,1.583167760332097,0.5628333098719572,122.85389017618516,0.6284704649913868,0.24829608676447373,69.67837071808995,2.695303922781769,0.11421821300619936,13.63817806462054,1.6208446828714085,0.0746523903573698,4,"P0078_orientationJ_ImageJ.txt, P0080_orientationJ_ImageJ.txt, P0079_orientationJ_ImageJ.txt, P0077_orientationJ_ImageJ.txt"
297_09,1,2117566.6961545045,4235155.3923090091,4235190.5148343686,227.66704763571514,0.001491800920189685,462296.20450000017,0.031567236067903397,455.09672189696295,0.9999908542162913,1.0,4,88.76166851181773,1.2438680080726783,0.3783491952110763,89.5345024541513,6.5721153107935235,0.3555773251107447,108.42555888959231,6.224364675005258,0.1443646164193405,69.32449180997403,6.821763004064889,0.12170886325883842,4,"P0084_orientationJ_ImageJ.txt, P0083_orientationJ_ImageJ.txt, P0082_orientationJ_ImageJ.txt, P0081_orientationJ_ImageJ.txt"
300_09,1,1664756.4335344976,3329534.8670689953,3329569.9895943552,218.00148285950647,0.0056743639037968368,357722.68759999995,0.031723855389300372,366.40704061995314,0.99999647955071391,1.0,4,99.01646178250803,2.8231210545261476,0.6178919881655116,121.94591930375648,2.6926209418830664,0.26765608630039817,129.42032278722823,1.3074114760983424,0.09539857145856691,18.140909876860047,1.7620331345282372,0.019053354075523294,4,"P0086_orientationJ_ImageJ.txt, P0088_orientationJ_ImageJ.txt, P0087_orientationJ_ImageJ.txt, P0085_orientationJ_ImageJ.txt"
303_09,1,2716018.6882232931,5432059.3764465861,5432094.4989719456,194.50178436003065,0.078974757656797956,551819.40869999991,0.023266391804128102,297.47822671033123,0.99999988592044509,1.0,4,93.7065691064626,0.8866094687589828,0.6851759549615627,67.0142548458257,2.9580851306901392,0.15678068567192893,94.5838077802801,4.810876826984479,0.09580976749337658,73.42814461742755,6.8168998220070005,0.06223359187313174,4,"P0091_orientationJ_ImageJ.txt, P0090_orientationJ_ImageJ.txt, P0089_orientationJ_ImageJ.txt, P0092_orientationJ_ImageJ.txt"
306_09,1,2586960.0910311323,5173942.1820622645,5173977.304587624,338.38190875396367,1.4749975263902267e-13,546674.13949999982,0.031257621657310747,530.52459001593945,0.99995792609176826,1.0,4,85.92816659424828,2.119510415522061,0.8862183090537906,53.36344123483196,1.1610584464499523,0.08512392481553509,172.4664703814124,5.863840013087893,0.015485494835248609,142.22822870073765,5.490041766556676,0.01317227129542558,4,"P0093_orientationJ_ImageJ.txt, P0094_orientationJ_ImageJ.txt, P0096_orientationJ_ImageJ.txt, P0095_orientationJ_ImageJ.txt"
309_09,1,1952021.9232512156,3904065.8465024312,3904100.9690277912,219.74716824545189,0.0045041522431091413,394996.68699999998,0.027372936794640028,293.94321485911138,0.99999991284702816,0.99999999999999989,4,102.4727037283064,1.6883939238057972,0.4913757627822484,80.94599753012454,2.3328642354514657,0.23408358933420215,169.25411171318046,0.22605414024573312,0.22210595259431754,110.11094961587709,11.228482617382593,0.05243469528923182,4,"P0097_orientationJ_ImageJ.txt, P0100_orientationJ_ImageJ.txt, P0098_orientationJ_ImageJ.txt, P0099_orientationJ_ImageJ.txt"
312_09,1,1622374.5448333807,3244771.0896667615,3244806.2121921214,175.41309530222975,0.33182987156220117,358357.73800000013,0.032326397153233065,380.29034944130836,0.99999513607024548,1.0,4,82.45455653025776,5.39790535241578,0.31757270757230865,95.89157234856357,1.1854181583904093,0.29942214334952133,106.57310972656933,4.9197128557728735,0.27352906956493717,90.81885503887929,9.707470993974617,0.1094760795132328,4,"P0103_orientationJ_ImageJ.txt, P0104_orientationJ_ImageJ.txt, P0101_orientationJ_ImageJ.txt, P0102_orientationJ_ImageJ.txt"
315_09,1,2050692.3051680401,4101406.6103360802,4101441.7328614402,263.83404295957678,3.2763087038523995e-06,446559.65500000003,0.033375719773593882,495.22280233655556,0.99997335881949312,1.0,4,80.28979799861906,4.035436181798417,0.4627008138830586,91.94083074234915,0.8741919645395724,0.30161620922936705,94.65459368379055,10.766463679609306,0.16937674640773964,110.11214592230824,8.876443590492743,0.06630623047983471,4,"P0107_orientationJ_ImageJ.txt, P0105_orientationJ_ImageJ.txt, P0108_orientationJ_ImageJ.txt, P0106_orientationJ_ImageJ.txt"
318_09,1,2833911.4342535632,5667844.8685071263,5667879.9910324859,213.17942941452253,0.010480300719576415,594048.04340000008,0.026289215678048407,406.60559737053347,0.9999965086969016,1.0,4,92.27570285743649,2.7804228670598126,0.5335316876333978,105.08197938492955,0.3297132639896613,0.22460617074665573,73.47006220404486,3.4757174154160144,0.12808300132409856,77.37476599972621,1.6749255931209648,0.11377914029584797,4,"P0112_orientationJ_ImageJ.txt, P0110_orientationJ_ImageJ.txt, P0111_orientationJ_ImageJ.txt, P0109_orientationJ_ImageJ.txt"
321_09,1,1458503.3685234748,2917028.7370469496,2917063.8595723095,204.85070789079106,0.027715426136441366,318179.59600000014,0.034688752725940665,381.89137948974354,0.99999754076605296,1.0,4,90.93799803934952,5.624726270328625,0.42246999262332746,84.98540952022418,0.6853989681472059,0.2605484424102298,102.80018727853145,3.5761941295034902,0.2447543288515154,71.84864196268775,6.753795833353982,0.07222723611492742,4,"P0116_orientationJ_ImageJ.txt, P0114_orientationJ_ImageJ.txt, P0113_orientationJ_ImageJ.txt, P0115_orientationJ_ImageJ.txt"
